Neuron1,Neuron2,Type1,Type2,IndexSending,IndexReceiving
URADL,OLQDR,flp-21,npr-1,29,43
URADL,OLQVL,flp-21,npr-1,29,44
URADL,OLQVR,flp-21,npr-1,29,54
URADR,OLQDL,flp-21,npr-1,38,36
URADR,OLQDR,flp-21,npr-1,38,43
URADR,OLQVL,flp-21,npr-1,38,44
URADR,OLQVR,flp-21,npr-1,38,54
URAVL,OLQDL,flp-21,npr-1,48,36
URAVL,OLQDR,flp-21,npr-1,48,43
URAVL,OLQVL,flp-21,npr-1,48,44
URAVL,OLQVR,flp-21,npr-1,48,54
URAVR,OLQDL,flp-21,npr-1,57,36
URAVR,OLQDR,flp-21,npr-1,57,43
URAVR,OLQVL,flp-21,npr-1,57,44
URAVR,OLQVR,flp-21,npr-1,57,54
URADL,PHAL,flp-21,npr-1,29,279
URADL,PHAR,flp-21,npr-1,29,285
URADR,PHAL,flp-21,npr-1,38,279
URADR,PHAR,flp-21,npr-1,38,285
URAVL,PHAL,flp-21,npr-1,48,279
URAVL,PHAR,flp-21,npr-1,48,285
URAVR,PHAL,flp-21,npr-1,57,279
URAVR,PHAR,flp-21,npr-1,57,285
URADL,PHBL,flp-21,npr-1,29,286
URADL,PHBR,flp-21,npr-1,29,287
URADR,PHBL,flp-21,npr-1,38,286
URADR,PHBR,flp-21,npr-1,38,287
URAVL,PHBL,flp-21,npr-1,48,286
URAVL,PHBR,flp-21,npr-1,48,287
URAVR,PHBL,flp-21,npr-1,57,286
URAVR,PHBR,flp-21,npr-1,57,287
URADL,PQR,flp-21,npr-1,29,289
URADR,PQR,flp-21,npr-1,38,289
URAVL,PQR,flp-21,npr-1,48,289
URAVR,PQR,flp-21,npr-1,57,289
URADL,RIGL,flp-21,npr-1,29,181
URADL,RIGR,flp-21,npr-1,29,178
URADR,RIGL,flp-21,npr-1,38,181
URADR,RIGR,flp-21,npr-1,38,178
URAVL,RIGL,flp-21,npr-1,48,181
URAVL,RIGR,flp-21,npr-1,48,178
URAVR,RIGL,flp-21,npr-1,57,181
